fund_number,fund_name,price_date,price,guarantee,guarantee_type,fund_ind,hr_indicator,aegon_fund,M1,M2,M3
221,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
222,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
223,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
224,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
225,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
226,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
227,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
228,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
229,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
230,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
231,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
232,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
233,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
234,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
235,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
236,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
237,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
238,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
239,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
240,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
241,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
242,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
243,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
244,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
245,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
246,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
247,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
248,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
249,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
250,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
251,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
252,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
253,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
254,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
255,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
256,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
257,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
258,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
259,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
260,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
261,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
262,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
263,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
264,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
265,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
266,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
267,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
268,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
269,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
270,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
271,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
