postid,product,prodbm_cd,group,nb_if,recordno,paid_uppol,no_pol,no_ins,sales_chan,intermed,leg_entity,riderprem,rid_pay_mt,rid_prm_fr,iss_yr,iss_mth,sex_1,age_iss_1,dob_yr_1,dob_mth_1,age_adj_1,sex_2,age_iss_2,dob_yr_2,dob_mth_2,age_adj_2,perstpcd,profit_grp,tarcd,kas,ben_term_k,rid_cd,acc_cov_cd,acc_prem,acc_pay_mt,ris_res,rid_ibnr,rid_age_rs
608565770,SPAARKAS,SCHAKELSPAAR,1,IF,90,N,1,1,ASB,,C,0.0,0.0,M,2002,11,M,32.42,1970,5,0.0,,,,,,N,F,SCHAKELSPAAR,F,354.0,0,0,0.0,0.0,,,
608566690,SPAARKAS,SCHAKELSPAAR,1,IF,91,N,1,1,ASB,,C,0.0,0.0,M,2002,12,M,36.08,1966,10,0.0,,,,,,N,F,SCHAKELSPAAR,F,346.0,0,0,0.0,0.0,,,
608322460,SPAARKAS,SCHAKELSPAAR,1,IF,92,Y,1,1,ASB,,C,0.0,0.0,M,1997,12,F,30.17,1967,9,0.0,,,,,,N,F,SCHAKELSPAAR,F,336.0,0,0,0.0,0.0,,,
608567750,SPAARKAS,SCHAKELSPAAR,1,IF,93,Y,1,1,ASB,,C,0.0,0.0,M,2002,12,M,39.33,1963,7,0.0,,,,,,N,F,SCHAKELSPAAR,F,271.0,0,0,0.0,0.0,,,
608568860,SPAARKAS,SCHAKELSPAAR,1,IF,94,N,1,1,MVI,,C,0.0,0.0,M,2003,2,M,28.58,1974,6,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608569950,SPAARKAS,SCHAKELSPAAR,1,IF,95,Y,1,1,MVI,,C,0.0,0.0,M,2003,4,M,22.17,1981,1,0.0,,,,,,N,F,SCHAKELSPAAR,F,240.0,0,0,0.0,0.0,,,
608570980,SPAARKAS,SCHAKELSPAAR,1,IF,96,Y,1,1,MVI,,C,0.0,0.0,M,2003,7,M,44.67,1958,10,0.0,,,,,,N,F,SCHAKELSPAAR,F,250.0,0,0,0.0,0.0,,,
608572410,SPAARKAS,SCHAKELSPAAR,1,IF,97,Y,1,1,MVI,,C,0.0,0.0,M,2003,9,M,45.0,1958,8,0.0,,,,,,N,F,SCHAKELSPAAR,F,239.0,0,0,0.0,0.0,,,
608572960,SPAARKAS,SCHAKELSPAAR,1,IF,98,Y,1,1,ASB,,C,0.0,0.0,M,2005,4,M,46.42,1958,10,0.0,,,,,,N,F,SCHAKELSPAAR,F,222.0,0,0,0.0,0.0,,,
608321340,SPAARKAS,SCHAKELSPAAR,1,IF,99,N,1,1,ASB,,C,0.0,0.0,M,1997,12,M,26.33,1971,7,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
